plan_id,test_name,instrument,trading_day,expiry,symbol,option_type,strike,selected_premium,planned_entry,planned_stop_loss,planned_targets,target_lots,final_status
plan_2026-04-23_NIFTY_CE_24150.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-23,2026-04-28,NIFTY,CE,24150.0,205.7,244.95,216.25,259.07;277.1;297.0,0;1;1,STOPLOSS
plan_2026-04-23_NIFTY_PE_24250.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-23,2026-04-28,NIFTY,PE,24250.0,276.5,283.05,248.2,292.33;304.2;317.3,0;1;1,STOPLOSS
plan_2026-04-24_NIFTY_CE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-24,2026-04-28,NIFTY,CE,24100.0,213.05,253.45,220.9,269.48;289.92;312.5,0;1;1,NOT_ENTERED
plan_2026-04-24_NIFTY_PE_24250.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-24,2026-04-28,NIFTY,PE,24250.0,213.5,251.05,207.72,272.41;299.64;329.7,0;1;1,COMPLETED
plan_2026-04-27_NIFTY_CE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-27,2026-04-28,NIFTY,CE,23900.0,227.75,247.75,209.3,258.01;271.12;285.6,0;1;1,TRAILING_SL
plan_2026-04-27_NIFTY_PE_24200.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-27,2026-04-28,NIFTY,PE,24200.0,208.7,243.3,203.1,254.03;267.75;282.9,0;1;1,NOT_ENTERED
plan_2026-04-28_NIFTY_CE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-28,2026-04-28,NIFTY,CE,23800.0,226.7,244.05,216.28,257.71;275.15;294.4,0;1;1,COMPLETED
plan_2026-04-28_NIFTY_PE_24250.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-28,2026-04-28,NIFTY,PE,24250.0,233.7,268.05,242.92,280.4;296.18;313.6,0;1;1,NOT_ENTERED
plan_2026-04-27_NIFTY_CE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-27,2026-05-05,NIFTY,CE,23900.0,397.0,417.0,380.9,426.62;438.92;452.5,0;1;1,NOT_ENTERED
plan_2026-04-27_NIFTY_PE_23950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-27,2026-05-05,NIFTY,PE,23950.0,222.95,240.0,218.25,245.72;253.05;261.15,0;1;1,STOPLOSS
plan_2026-04-28_NIFTY_CE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-28,2026-05-05,NIFTY,CE,24000.0,253.75,272.3,239.8,280.94;292.0;304.2,0;1;1,TRAILING_SL
plan_2026-04-28_NIFTY_PE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-28,2026-05-05,NIFTY,PE,24050.0,241.9,255.75,238.5,260.24;266.02;272.4,0;1;1,NOT_ENTERED
plan_2026-04-29_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-29,2026-05-05,NIFTY,CE,24050.0,221.5,223.45,204.55,228.39;234.74;241.75,0;1;1,STOPLOSS
plan_2026-04-29_NIFTY_PE_24150.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-29,2026-05-05,NIFTY,PE,24150.0,213.8,247.35,212.15,256.72;268.71;281.95,0;1;1,NOT_ENTERED
plan_2026-04-30_NIFTY_CE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-30,2026-05-05,NIFTY,CE,23900.0,221.0,242.9,213.35,250.74;260.77;271.85,0;1;1,NOT_ENTERED
plan_2026-04-30_NIFTY_PE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-30,2026-05-05,NIFTY,PE,24050.0,215.85,221.85,200.8,227.38;234.47;242.3,0;1;1,COMPLETED
plan_2026-05-04_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-04,2026-05-05,NIFTY,CE,24050.0,260.2,295.55,246.41,319.78;350.66;384.75,0;1;1,TRAILING_SL
plan_2026-05-04_NIFTY_PE_24400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-04,2026-05-05,NIFTY,PE,24400.0,218.0,298.65,239.64,327.76;364.85;405.8,0;1;1,NOT_ENTERED
plan_2026-05-05_NIFTY_CE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-05,2026-05-05,NIFTY,CE,23800.0,213.15,263.05,207.18,290.61;325.73;364.5,0;1;1,STOPLOSS
plan_2026-05-05_NIFTY_PE_24200.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-05,2026-05-05,NIFTY,PE,24200.0,212.8,261.5,230.29,276.86;296.46;318.1,0;1;1,NOT_ENTERED
plan_2026-05-04_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-04,2026-05-12,NIFTY,CE,24050.0,396.65,422.3,389.72,438.34;458.8;481.4,0;1;1,TRAILING_SL
plan_2026-05-04_NIFTY_PE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-04,2026-05-12,NIFTY,PE,24100.0,200.0,244.2,207.49,262.28;285.34;310.8,0;1;1,NOT_ENTERED
plan_2026-05-05_NIFTY_CE_24050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-05,2026-05-12,NIFTY,CE,24050.0,232.75,249.6,226.39,261.0;275.57;291.65,0;1;1,STOPLOSS
plan_2026-05-05_NIFTY_PE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-05,2026-05-12,NIFTY,PE,24100.0,292.1,321.35,290.33,336.61;356.09;377.6,0;1;1,NOT_ENTERED
plan_2026-05-06_NIFTY_CE_24150.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-06,2026-05-12,NIFTY,CE,24150.0,249.3,267.7,232.3,277.13;289.19;302.5,0;1;1,NOT_ENTERED
plan_2026-05-06_NIFTY_PE_24300.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-06,2026-05-12,NIFTY,PE,24300.0,206.4,214.45,188.1,221.42;230.34;240.2,0;1;1,COMPLETED
plan_2026-05-07_NIFTY_CE_24300.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-07,2026-05-12,NIFTY,CE,24300.0,229.1,275.1,249.25,287.81;304.03;321.95,0;1;1,NOT_ENTERED
plan_2026-05-07_NIFTY_PE_24450.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-07,2026-05-12,NIFTY,PE,24450.0,201.5,202.65,169.7,211.41;222.62;235.0,0;1;1,COMPLETED
plan_2026-05-08_NIFTY_CE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-08,2026-05-12,NIFTY,CE,24100.0,221.4,250.05,227.4,261.18;275.4;291.1,0;1;1,STOPLOSS
plan_2026-05-08_NIFTY_PE_24300.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-08,2026-05-12,NIFTY,PE,24300.0,209.45,213.05,189.3,219.31;227.34;236.2,0;1;1,STOPLOSS
plan_2026-05-11_NIFTY_CE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-11,2026-05-12,NIFTY,CE,23800.0,223.95,245.1,210.75,254.24;265.94;278.85,0;1;1,NOT_ENTERED
plan_2026-05-11_NIFTY_PE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-11,2026-05-12,NIFTY,PE,24100.0,211.7,214.7,190.09,226.79;242.24;259.3,0;1;1,TRAILING_SL
plan_2026-05-12_NIFTY_CE_23500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-12,2026-05-12,NIFTY,CE,23500.0,236.8,264.85,232.95,273.33;284.17;296.15,0;1;1,NOT_ENTERED
plan_2026-05-12_NIFTY_PE_23950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-12,2026-05-12,NIFTY,PE,23950.0,231.1,238.05,204.5,246.98;258.39;271.0,0;1;1,STOPLOSS
plan_2026-05-11_NIFTY_CE_23950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-11,2026-05-19,NIFTY,CE,23950.0,274.3,413.1,325.85,456.18;511.03;571.6,0;1;1,NOT_ENTERED
plan_2026-05-11_NIFTY_PE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-11,2026-05-19,NIFTY,PE,24000.0,272.85,273.9,244.2,281.78;291.86;303.0,0;1;1,COMPLETED
plan_2026-05-12_NIFTY_CE_23700.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-12,2026-05-19,NIFTY,CE,23700.0,263.65,304.4,280.15,316.32;331.54;348.35,0;1;1,NOT_ENTERED
plan_2026-05-12_NIFTY_PE_23750.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-12,2026-05-19,NIFTY,PE,23750.0,246.0,252.1,228.92,263.49;278.04;294.1,0;1;1,STOPLOSS
plan_2026-05-13_NIFTY_CE_23350.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-13,2026-05-19,NIFTY,CE,23350.0,300.8,336.8,300.06,354.89;377.97;403.45,0;1;1,NOT_ENTERED
plan_2026-05-13_NIFTY_PE_23450.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-13,2026-05-19,NIFTY,PE,23450.0,217.95,234.9,209.14,247.57;263.74;281.6,0;1;1,STOPLOSS
plan_2026-05-14_NIFTY_CE_23500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-05-14,2026-05-19,NIFTY,CE,23500.0,225.55,242.4,217.65,248.93;257.31;266.55,0;1;1,TRAILING_SL
